ID,Unicode
5,U+305D
7,U+3046
18,U+307B
33,U+3044
35,U+3042
62,U+3044
63,U+3057
69,U+3044
85,U+3042
88,U+308C
89,U+3044
91,U+3044
97,U+308D
121,U+3044
123,U+3044
128,U+3044
134,U+3042
144,U+3046
154,U+3046
159,U+3044
170,U+308A
201,U+3075
209,U+3046
229,U+3042
231,U+3044
244,U+3044
263,U+3046
268,U+3081
275,U+3046
286,U+3044
287,U+305F
288,U+3051
303,U+3046
339,U+3044
376,U+3044
395,U+305F
396,U+3044
398,U+3046
405,U+3044
410,U+3046
417,U+3044
426,U+3046
431,U+3046
466,U+3057
476,U+3044
492,U+305B
493,U+3093
506,U+304F
535,U+3084
536,U+3046
544,U+307B
546,U+304D
549,U+308C
555,U+3046
577,U+3042
596,U+3044
613,U+3046
626,U+3046
629,U+3046
632,U+3046
644,U+304A
654,U+3046
672,U+3046
673,U+3042
674,U+3078
683,U+3044
693,U+3051
707,U+3046
708,U+3061
710,U+3080
721,U+308A
723,U+3046
739,U+3046
744,U+3044
750,U+3046
753,U+3044
759,U+3046
762,U+3081
764,U+307E
765,U+306A
780,U+3042
782,U+3044
801,U+3046
806,U+3044
817,U+3044
837,U+306E
843,U+304B
852,U+3042
862,U+3046
876,U+3044
890,U+3046
905,U+3046
919,U+3044
926,U+304B
929,U+3042
936,U+3044
940,U+304A
944,U+3046
946,U+3044
951,U+3051
956,U+305F
963,U+3042
973,U+308D
975,U+308F
977,U+3042
985,U+3046
989,U+308F
1003,U+3044
1004,U+3044
1011,U+308F
1016,U+3042
1018,U+3046
1022,U+3044
1024,U+3064
1031,U+304A
1036,U+3044
1049,U+307B
1051,U+3044
1069,U+305B
1074,U+3044
1083,U+304A
1105,U+306F
1109,U+3044
1126,U+3046
1177,U+3046
1211,U+3053
1213,U+3046
1222,U+308A
1232,U+3080
1234,U+3046
1242,U+306B
1259,U+3061
1292,U+3046
1306,U+3044
1315,U+304B
1328,U+3066
1345,U+3044
1351,U+3046
1359,U+308D
1361,U+3042
1375,U+308F
1386,U+306F
1409,U+3042
1420,U+3044
1439,U+3044
1453,U+3044
1458,U+3081
1474,U+3044
1481,U+304D
1485,U+3044
1487,U+3046
1489,U+3061
1508,U+308F
1513,U+3051
1514,U+3046
1522,U+3075
1525,U+305D
1536,U+304F
1544,U+3086
1547,U+304B
1558,U+305F
1559,U+3061
1570,U+3042
1573,U+3051
1579,U+3046
1591,U+3044
1599,U+306E
1610,U+3046
1611,U+3075
1621,U+3046
1644,U+3044
1674,U+3046
1687,U+3044
1698,U+306A
1716,U+3044
1724,U+3046
1735,U+304D
1739,U+3044
1745,U+304F
1748,U+308F
1777,U+3093
1779,U+3042
1784,U+3046
1787,U+3042
1795,U+3044
1797,U+3046
1800,U+3042
1803,U+3044
1855,U+308A
1859,U+305F
1862,U+3044
1871,U+3046
1874,U+3046
1880,U+3046
1884,U+3042
1893,U+3042
1912,U+3080
1918,U+3046
1925,U+3046
1932,U+3044
1933,U+3089
1938,U+3042
1941,U+3044
1945,U+3089
1947,U+3042
1961,U+3042
1965,U+3042
1983,U+3046
