ID,Unicode
68,U+306A
1439,U+3044
1710,U+3055
1901,U+304D
2800,U+305F
3084,U+3075
6204,U+3082
8456,U+3048
9000,U+3053
10433,U+306F
11981,U+307E
13869,U+306D
14556,U+3092
15890,U+308B
16918,U+305D
17138,U+304F
17350,U+3080
17364,U+3089
17777,U+3081
17821,U+304B
20492,U+3059
20813,U+308A
20959,U+3084
21012,U+307F
21327,U+3072
21770,U+3086
22391,U+3042
24149,U+3046
25343,U+306E
27234,U+308F
29698,U+308D
31101,U+3066
32442,U+3057
34834,U+306B
35174,U+305B
35532,U+3068
35634,U+3078
38528,U+3064
39292,U+3061
42413,U+3093
43422,U+307B
44003,U+304A
44055,U+3051
47770,U+306C
48296,U+308C
48576,U+3088
