ID,Image,X,Y,Width,Height
5,200021637-00003_2,1372,335,43,55
7,200021637-00003_2,1311,319,25,64
18,200021637-00003_2,947,319,43,48
33,200021637-00003_2,653,457,43,27
35,200021637-00003_2,595,259,43,53
62,200021637-00003_2,519,1320,72,88
63,200021637-00003_2,417,1195,72,95
69,200021637-00003_2,325,1456,67,45
85,200021637-00004_1,777,245,45,53
88,200021637-00004_1,725,295,51,44
89,200021637-00004_1,735,340,40,25
91,200021637-00004_1,657,377,48,29
97,200021637-00004_1,540,307,44,44
121,200021637-00004_1,1513,1448,69,59
123,200021637-00004_1,1409,1476,64,44
128,200021637-00004_1,1236,1899,63,53
134,200021637-00004_1,981,2010,52,85
144,200021637-00004_1,744,1659,41,92
154,200021637-00004_2,1430,348,52,129
159,200021637-00004_2,954,417,43,33
170,200021637-00004_2,707,319,25,48
201,200021637-00004_2,1546,1245,75,87
209,200021637-00004_2,1254,1432,33,81
229,200021637-00004_2,559,1525,71,91
231,200021637-00004_2,431,1538,75,57
244,200021637-00005_1,877,349,64,44
263,200021637-00005_1,1225,1081,36,108
268,200021637-00005_1,986,956,55,83
275,200021637-00005_1,1128,1245,39,100
286,200021637-00005_1,1097,1802,64,36
287,200021637-00005_1,1112,1860,43,72
288,200021637-00005_1,1112,1934,56,100
303,200021637-00005_1,508,1019,37,92
339,200021637-00005_2,910,365,53,39
376,200021637-00005_2,220,511,39,21
395,200021637-00005_2,1445,1724,89,100
396,200021637-00005_2,1450,1893,73,59
398,200021637-00005_2,1197,1806,55,93
405,200021637-00005_2,1450,2585,67,39
410,200021637-00005_2,1040,2453,40,83
417,200021637-00005_2,465,948,60,48
426,200021637-00005_2,549,1399,40,91
431,200021637-00005_2,287,1474,44,104
466,200021637-00006_1,582,315,13,64
476,200021637-00006_1,295,320,44,33
492,200021637-00006_1,1212,968,65,75
493,200021637-00006_1,1210,1048,95,75
506,200021637-00006_1,984,1277,48,53
535,200021637-00006_1,104,853,75,37
536,200021637-00006_1,116,892,44,100
544,200021637-00006_1,300,1844,59,65
546,200021637-00006_1,313,2050,39,59
549,200021637-00006_1,454,2329,79,71
555,200021637-00006_1,199,2175,40,100
577,200021637-00006_2,383,277,49,57
596,200021637-00006_2,1351,959,64,55
613,200021637-00006_2,1052,1432,33,89
626,200021637-00006_2,1379,2300,36,88
629,200021637-00006_2,1228,2425,60,115
632,200021637-00006_2,1048,2541,41,100
644,200021637-00006_2,305,780,75,75
654,200021637-00006_2,268,1434,48,119
672,200021637-00007_1,1169,447,44,100
673,200021637-00007_1,1049,617,55,81
674,200021637-00007_1,1034,696,97,36
683,200021637-00007_1,753,376,48,35
693,200021637-00007_1,575,304,41,47
707,200021637-00007_1,289,263,32,60
708,200021637-00007_1,284,319,39,61
710,200021637-00007_1,272,428,55,57
721,200021637-00007_1,108,564,27,79
723,200021637-00007_1,1289,981,45,112
739,200021637-00007_1,384,780,39,84
744,200021637-00007_1,520,1270,73,67
750,200021637-00007_1,300,1520,35,93
753,200021637-00007_1,152,1364,68,63
759,200021637-00007_1,537,2033,32,87
762,200021637-00007_1,301,1918,73,96
764,200021637-00007_1,181,1817,40,91
765,200021637-00007_1,171,2060,79,79
780,200021637-00007_2,998,239,67,84
782,200021637-00007_2,857,311,55,48
801,200021637-00007_2,1479,1496,39,85
806,200021637-00007_2,1462,1912,79,53
817,200021637-00007_2,788,871,73,56
837,200021637-00007_2,600,2510,48,43
843,200021637-00007_2,309,2383,29,48
852,200021637-00008_1,832,568,51,73
862,200021637-00008_1,384,243,25,60
876,200021637-00008_1,1149,947,73,63
890,200021637-00008_1,1182,1981,36,107
905,200021637-00008_1,83,972,35,100
919,200021637-00008_1,283,1867,63,56
926,200021637-00008_1,145,2323,29,60
929,200021637-00008_2,1444,383,71,99
936,200021637-00008_2,983,460,44,45
940,200021637-00008_2,808,273,51,57
944,200021637-00008_2,752,335,29,59
946,200021637-00008_2,753,421,23,56
951,200021637-00008_2,624,307,43,52
956,200021637-00008_2,337,269,35,48
963,200021637-00008_2,204,297,43,48
973,200021637-00008_2,1067,881,56,65
975,200021637-00008_2,987,1049,37,69
977,200021637-00008_2,1458,1240,53,73
985,200021637-00008_2,1111,1560,48,115
989,200021637-00008_2,1343,1936,39,95
1003,200021637-00008_2,537,1149,67,47
1004,200021637-00008_2,373,943,69,56
1011,200021637-00008_2,453,1452,49,85
1016,200021637-00008_2,597,1927,60,89
1018,200021637-00008_2,459,1800,48,96
1022,200021637-00008_2,225,2012,59,52
1024,200021637-00008_2,616,2195,69,105
1031,200021637-00008_2,257,2320,67,64
1036,200021637-00009_1,1370,592,75,75
1049,200021637-00009_1,655,323,48,56
1051,200021637-00009_1,587,261,52,32
1069,200021637-00009_1,1180,903,77,72
1074,200021637-00009_1,865,843,67,69
1083,200021637-00009_1,923,1445,57,65
1105,200021637-00009_1,295,937,39,84
1109,200021637-00009_1,144,995,67,52
1126,200021637-00009_1,256,1845,29,76
1177,200021637-00009_2,236,367,33,65
1211,200021637-00009_2,1022,2398,35,39
1213,200021637-00009_2,1016,2523,41,129
1222,200021637-00009_2,309,997,40,68
1232,200021637-00009_2,413,2384,56,60
1234,200021637-00009_2,420,2524,40,76
1242,200021637-00010_1,668,307,63,56
1259,200021637-00010_1,1365,825,44,76
1292,200021637-00010_1,377,2256,27,75
1306,200021637-00010_2,1292,427,63,45
1315,200021637-00010_2,1012,503,31,43
1328,200021637-00010_2,635,392,55,36
1345,200021637-00010_2,1445,1168,57,43
1351,200021637-00010_2,1452,1465,35,81
1359,200021637-00010_2,1183,1852,44,71
1361,200021637-00010_2,1461,2340,57,88
1375,200021637-00010_2,645,2019,28,69
1386,200021637-00011_1,884,257,48,73
1409,200021637-00011_1,1309,1356,60,92
1420,200021637-00011_1,1107,1736,49,44
1439,200021637-00011_1,185,1269,64,43
1453,200021637-00011_2,1513,545,69,44
1458,200021637-00011_2,1280,523,57,76
1474,200021637-00011_2,1443,1093,76,69
1481,200021637-00011_2,1460,1547,77,116
1485,200021637-00011_2,1209,1540,64,37
1487,200021637-00011_2,1119,1479,27,91
1489,200021637-00011_2,1485,2033,43,85
1508,200021637-00011_2,307,1395,37,83
1513,200021637-00011_2,663,2005,57,107
1514,200021637-00011_2,557,1733,28,92
1522,200021637-00011_2,667,2537,69,83
1525,200021637-00011_2,439,2212,64,95
1536,200021637-00012_1,755,287,40,52
1544,200021637-00012_1,468,348,56,44
1547,200021637-00012_1,408,251,33,40
1558,200021637-00012_1,247,303,51,52
1559,200021637-00012_1,253,355,44,67
1570,200021637-00012_1,1334,913,53,81
1573,200021637-00012_1,1338,1099,56,93
1579,200021637-00012_1,1352,1494,32,76
1591,200021637-00012_1,1010,1893,53,47
1599,200021637-00012_1,729,1620,73,57
1610,200021637-00012_1,495,1431,33,101
1611,200021637-00012_1,483,1524,75,81
