ID,Image,X,Y,Width,Height
1,200021637-00003_2,1372,287,43,145
2,200021637-00003_2,1058,323,64,146
3,200021637-00003_2,943,260,47,156
4,200021637-00003_2,935,319,59,132
5,200021637-00003_2,776,300,44,150
6,200021637-00003_2,773,345,47,159
7,200021637-00003_2,655,255,48,145
8,200021637-00003_2,359,261,49,157
9,200021637-00003_2,357,323,51,129
10,200021637-00003_2,291,280,59,154
11,200021637-00003_2,749,2294,71,224
12,200021637-00003_2,329,1095,65,229
13,200021637-00003_2,331,1191,57,213
14,200021637-00003_2,244,1093,75,218
15,200021637-00003_2,255,1153,42,201
16,200021637-00004_1,951,433,58,208
17,200021637-00004_1,725,256,51,109
18,200021637-00004_1,657,309,49,135
19,200021637-00004_1,595,263,49,133
20,200021637-00004_1,540,268,44,116
21,200021637-00004_1,425,279,47,115
22,200021637-00004_1,321,292,52,98
23,200021637-00004_1,84,295,70,181
24,200021637-00004_1,84,356,66,181
25,200021637-00004_1,1284,1105,91,219
26,200021637-00004_1,1287,1183,88,238
27,200021637-00004_1,613,1647,71,239
28,200021637-00004_1,621,1735,56,228
29,200021637-00004_2,1427,287,69,288
30,200021637-00004_2,860,340,56,135
31,200021637-00004_2,641,263,53,140
32,200021637-00004_2,641,324,53,117
33,200021637-00004_2,643,360,52,162
34,200021637-00004_2,523,267,39,135
35,200021637-00004_2,523,316,48,147
36,200021637-00004_2,347,275,40,121
37,200021637-00004_2,292,431,53,128
38,200021637-00004_2,1546,1245,83,217
39,200021637-00004_2,1394,2153,76,209
40,200021637-00004_2,1334,2407,55,187
41,200021637-00004_2,1042,1128,60,260
42,200021637-00004_2,1042,1216,60,223
43,200021637-00004_2,1040,1321,63,189
44,200021637-00005_1,1230,267,85,372
45,200021637-00005_1,395,263,51,136
46,200021637-00005_1,1294,761,107,343
47,200021637-00005_1,1322,879,68,297
48,200021637-00005_1,1194,771,99,294
49,200021637-00005_1,1204,856,89,333
50,200021637-00005_1,986,769,55,270
51,200021637-00005_1,810,961,64,192
52,200021637-00005_1,810,1045,75,163
53,200021637-00005_1,1097,1728,68,204
54,200021637-00005_1,1097,1802,71,232
55,200021637-00005_1,1300,2202,73,258
56,200021637-00005_1,505,1828,77,218
57,200021637-00005_1,505,1934,80,193
58,200021637-00005_2,910,303,57,143
59,200021637-00005_2,848,256,56,163
60,200021637-00005_2,560,256,55,126
61,200021637-00005_2,391,256,31,150
62,200021637-00005_2,388,313,37,151
63,200021637-00005_2,327,336,37,165
64,200021637-00005_2,268,327,48,132
65,200021637-00005_2,220,455,40,117
66,200021637-00005_2,219,511,41,109
67,200021637-00005_2,181,545,41,132
68,200021637-00005_2,181,600,36,130
69,200021637-00005_2,1446,2372,91,201
70,200021637-00005_2,1446,2457,91,167
71,200021637-00005_2,1148,2198,80,256
72,200021637-00005_2,581,761,52,265
73,200021637-00005_2,459,863,69,187
74,200021637-00005_2,465,948,60,191
75,200021637-00005_2,235,875,65,214
76,200021637-00005_2,349,2197,80,280
77,200021637-00006_1,1061,227,60,274
78,200021637-00006_1,949,327,63,234
79,200021637-00006_1,621,265,54,144
80,200021637-00006_1,562,221,47,158
81,200021637-00006_1,493,216,60,138
82,200021637-00006_1,489,268,64,130
83,200021637-00006_1,288,280,73,123
84,200021637-00006_1,227,221,72,130
85,200021637-00006_1,164,225,44,174
86,200021637-00006_1,95,267,67,163
87,200021637-00006_1,104,331,43,136
88,200021637-00006_1,1352,1209,48,296
89,200021637-00006_1,892,1273,60,212
90,200021637-00006_1,1140,1688,79,251
91,200021637-00006_1,946,1681,68,270
92,200021637-00006_1,104,777,75,215
93,200021637-00006_1,227,1210,92,322
94,200021637-00006_1,454,2329,98,193
95,200021637-00006_1,461,2402,91,176
96,200021637-00006_2,1584,368,112,235
97,200021637-00006_2,453,316,37,129
98,200021637-00006_2,440,357,73,122
99,200021637-00006_2,376,393,56,127
100,200021637-00006_2,376,425,56,143
101,200021637-00006_2,263,289,52,136
102,200021637-00006_2,263,357,52,116
103,200021637-00006_2,263,400,52,119
104,200021637-00006_2,1121,775,68,265
105,200021637-00006_2,1032,1309,72,212
106,200021637-00006_2,985,1896,68,187
107,200021637-00006_2,1417,2214,107,226
108,200021637-00006_2,667,780,71,204
109,200021637-00006_2,427,781,67,205
110,200021637-00006_2,305,780,75,215
111,200021637-00006_2,307,856,56,220
112,200021637-00006_2,313,927,44,214
113,200021637-00006_2,636,2325,64,268
114,200021637-00007_1,885,265,65,194
115,200021637-00007_1,885,336,65,173
116,200021637-00007_1,895,407,56,150
117,200021637-00007_1,753,316,53,138
118,200021637-00007_1,697,261,49,160
119,200021637-00007_1,625,377,59,123
120,200021637-00007_1,513,268,57,148
121,200021637-00007_1,513,321,48,154
122,200021637-00007_1,513,383,48,130
123,200021637-00007_1,460,268,51,140
124,200021637-00007_1,455,308,52,134
125,200021637-00007_1,281,263,42,168
126,200021637-00007_1,272,319,55,166
127,200021637-00007_1,213,284,59,177
128,200021637-00007_1,213,337,59,170
129,200021637-00007_1,108,424,35,150
130,200021637-00007_1,108,481,35,162
131,200021637-00007_1,520,1270,73,236
132,200021637-00007_1,279,1358,68,255
133,200021637-00007_1,280,1449,71,237
134,200021637-00007_1,133,1262,96,260
135,200021637-00007_1,152,1364,68,234
136,200021637-00007_1,140,1426,77,259
137,200021637-00007_1,509,1954,73,241
138,200021637-00007_1,500,2234,81,220
139,200021637-00007_2,1611,261,67,294
140,200021637-00007_2,1447,263,96,420
141,200021637-00007_2,1315,337,63,232
142,200021637-00007_2,1471,1344,64,237
143,200021637-00007_2,1466,1424,81,223
144,200021637-00007_2,780,759,89,265
145,200021637-00007_2,351,859,93,228
146,200021637-00007_2,255,1442,77,188
147,200021637-00007_2,279,2383,77,171
148,200021637-00008_1,716,233,50,192
149,200021637-00008_1,375,243,44,145
150,200021637-00008_1,299,243,60,113
151,200021637-00008_1,1149,947,75,197
152,200021637-00008_1,1441,1791,88,213
153,200021637-00008_1,1435,1859,94,194
154,200021637-00008_1,423,891,80,222
155,200021637-00008_1,444,987,52,206
156,200021637-00008_1,283,1717,63,206
157,200021637-00008_1,283,1791,63,202
158,200021637-00008_2,958,261,81,198
159,200021637-00008_2,978,324,55,181
160,200021637-00008_2,868,325,52,159
161,200021637-00008_2,808,273,51,175
162,200021637-00008_2,740,284,56,139
163,200021637-00008_2,740,335,44,142
164,200021637-00008_2,740,388,51,123
165,200021637-00008_2,384,273,64,151
166,200021637-00008_2,336,269,36,131
167,200021637-00008_2,321,316,48,132
168,200021637-00008_2,264,276,45,129
169,200021637-00008_2,185,375,61,117
170,200021637-00008_2,1058,789,85,190
171,200021637-00008_2,1458,1240,70,170
172,200021637-00008_2,1460,1316,68,160
173,200021637-00008_2,1111,1364,50,311
174,200021637-00008_2,525,897,104,250
175,200021637-00008_2,528,1012,101,184
176,200021637-00008_2,449,1275,56,262
177,200021637-00008_2,225,1920,106,231
178,200021637-00008_2,500,2251,92,237
179,200021637-00008_2,517,2324,75,233
180,200021637-00008_2,517,2431,75,178
181,200021637-00008_2,257,2320,67,226
182,200021637-00009_1,719,252,48,159
183,200021637-00009_1,643,256,64,163
184,200021637-00009_1,517,263,56,150
185,200021637-00009_1,517,312,56,169
186,200021637-00009_1,1180,903,95,212
187,200021637-00009_1,1188,977,87,211
188,200021637-00009_1,865,784,67,229
189,200021637-00009_1,865,843,67,250
190,200021637-00009_1,868,933,68,239
191,200021637-00009_1,923,1445,57,239
192,200021637-00009_1,1256,2284,43,237
193,200021637-00009_1,978,2232,83,256
194,200021637-00009_1,984,2307,50,225
195,200021637-00009_1,532,761,59,235
196,200021637-00009_1,140,776,71,271
197,200021637-00009_1,140,879,71,246
198,200021637-00009_1,420,1373,84,270
199,200021637-00009_1,225,1733,79,188
200,200021637-00009_1,225,1813,79,202
201,200021637-00009_1,76,2427,61,156
202,200021637-00009_2,1013,323,64,184
203,200021637-00009_2,645,311,52,140
204,200021637-00009_2,363,441,55,168
205,200021637-00009_2,363,516,55,133
206,200021637-00009_2,293,563,57,139
207,200021637-00009_2,293,623,55,139
208,200021637-00009_2,236,319,45,163
209,200021637-00009_2,236,367,45,160
210,200021637-00009_2,241,421,40,157
211,200021637-00009_2,245,480,32,160
212,200021637-00009_2,241,527,35,171
213,200021637-00009_2,188,479,47,159
214,200021637-00009_2,1200,948,87,211
215,200021637-00009_2,1200,1043,87,173
216,200021637-00009_2,1117,968,39,283
217,200021637-00009_2,1001,2398,77,254
218,200021637-00009_2,259,1900,85,212
219,200021637-00009_2,700,2246,61,213
220,200021637-00009_2,404,2384,75,216
221,200021637-00010_1,423,321,47,151
222,200021637-00010_1,357,351,59,149
223,200021637-00010_1,1097,1411,89,290
224,200021637-00010_1,1173,1817,63,250
225,200021637-00010_1,1173,1921,70,207
226,200021637-00010_1,1173,1980,70,226
227,200021637-00010_1,456,2353,68,217
228,200021637-00010_1,367,2256,45,217
229,200021637-00010_2,1472,296,59,265
230,200021637-00010_2,1292,356,63,166
231,200021637-00010_2,1281,427,74,189
232,200021637-00010_2,1281,477,65,185
233,200021637-00010_2,992,373,67,173
234,200021637-00010_2,820,301,47,136
235,200021637-00010_2,816,333,53,152
236,200021637-00010_2,759,305,59,158
237,200021637-00010_2,635,296,55,132
238,200021637-00010_2,1169,1796,65,237
239,200021637-00011_1,279,279,59,132
240,200021637-00011_1,200,304,79,162
241,200021637-00011_1,1217,1245,61,248
242,200021637-00011_1,1217,1324,61,209
243,200021637-00011_1,873,1732,71,354
244,200021637-00011_1,1289,2206,97,320
245,200021637-00011_1,1304,2291,76,302
246,200021637-00011_1,1196,2405,72,199
247,200021637-00011_2,1276,376,64,223
248,200021637-00011_2,640,272,56,171
249,200021637-00011_2,1011,919,75,229
250,200021637-00011_2,1287,1276,57,226
251,200021637-00011_2,1128,1736,87,216
252,200021637-00011_2,1147,1823,66,215
253,200021637-00011_2,1147,1876,67,236
254,200021637-00011_2,660,1727,60,278
255,200021637-00011_2,663,1833,57,279
256,200021637-00011_2,471,1881,71,263
257,200021637-00011_2,439,2212,72,282
258,200021637-00011_2,444,2319,67,274
259,200021637-00012_1,755,252,53,159
260,200021637-00012_1,468,264,60,128
261,200021637-00012_1,468,319,60,125
262,200021637-00012_1,468,348,60,137
263,200021637-00012_1,400,251,41,132
264,200021637-00012_1,395,303,55,133
265,200021637-00012_1,395,343,55,154
266,200021637-00012_1,320,256,48,156
267,200021637-00012_1,320,317,51,157
268,200021637-00012_1,317,372,54,140
269,200021637-00012_1,247,255,51,167
270,200021637-00012_1,247,303,53,168
271,200021637-00012_1,179,267,37,140
272,200021637-00012_1,167,311,49,117
273,200021637-00012_1,1324,913,77,187
274,200021637-00012_1,1324,999,77,193
275,200021637-00012_1,1079,868,65,252
276,200021637-00012_1,1168,1260,79,268
277,200021637-00012_1,1002,1269,81,336
278,200021637-00012_1,1342,2206,56,275
279,200021637-00012_1,483,1348,75,257
280,200021637-00012_1,219,1284,78,230
281,200021637-00012_1,220,1352,77,300
282,200021637-00012_1,221,2324,77,292
283,200021637-00012_2,1196,495,81,186
284,200021637-00012_2,826,344,59,120
285,200021637-00012_2,670,267,39,130
286,200021637-00012_2,668,299,57,125
287,200021637-00012_2,601,261,53,127
288,200021637-00012_2,601,324,53,110
289,200021637-00012_2,604,355,46,122
290,200021637-00012_2,424,255,48,162
291,200021637-00012_2,304,256,59,136
292,200021637-00012_2,309,304,55,140
293,200021637-00012_2,312,341,52,152
294,200021637-00012_2,312,395,52,152
295,200021637-00012_2,251,256,47,158
296,200021637-00012_2,1373,1743,71,344
297,200021637-00012_2,1106,2233,73,307
298,200021637-00012_2,692,901,68,203
299,200021637-00012_2,700,984,49,217
300,200021637-00012_2,477,1276,86,300
301,200021637-00012_2,477,1415,69,236
302,200021637-00012_2,490,1961,69,193
303,200021637-00013_1,512,268,39,141
304,200021637-00013_1,304,299,64,146
305,200021637-00013_1,1278,1005,59,173
306,200021637-00013_1,1092,799,61,239
307,200021637-00013_1,1092,888,61,245
308,200021637-00013_1,1202,1312,65,207
309,200021637-00013_1,560,1761,93,288
310,200021637-00013_1,235,1996,80,166
311,200021637-00013_2,1328,456,75,215
312,200021637-00013_2,589,280,51,157
313,200021637-00013_2,1350,1752,54,209
314,200021637-00013_2,1566,2178,68,233
315,200021637-00013_2,1558,2256,101,221
316,200021637-00013_2,1262,2247,81,221
317,200021637-00013_2,701,975,92,162
318,200021637-00013_2,705,1027,63,170
319,200021637-00013_2,504,1307,77,242
320,200021637-00013_2,504,1377,68,199
321,200021637-00013_2,520,1458,52,194
322,200021637-00013_2,371,1707,93,216
323,200021637-00013_2,389,1784,59,231
324,200021637-00013_2,377,1842,80,258
325,200021637-00014_1,1012,417,83,275
326,200021637-00014_1,1311,1257,97,220
327,200021637-00014_1,164,916,63,176
328,200021637-00014_1,277,1735,91,222
329,200021637-00014_1,277,1815,91,206
330,200021637-00014_2,1271,421,104,254
331,200021637-00014_2,519,308,57,140
332,200021637-00014_2,1492,1796,69,231
333,200021637-00015_1,1390,367,71,225
334,200021637-00015_1,341,289,87,161
335,200021637-00015_1,1534,1739,66,193
336,200021637-00015_1,1533,1799,67,218
337,200021637-00015_1,1445,1739,60,246
338,200021637-00015_1,1194,1880,78,205
339,200021637-00015_1,415,919,92,231
340,200021637-00015_1,411,992,96,212
341,200021637-00015_1,264,948,71,249
342,200021637-00015_1,289,2260,88,247
343,200021637-00015_2,1161,315,84,186
344,200021637-00015_2,401,236,47,157
345,200021637-00015_2,401,277,52,163
346,200021637-00015_2,240,360,59,196
