ID,Unicode
1,U+3057
2,U+3089
3,U+3046
5,U+305D
6,U+304F
7,U+3046
8,U+3064
9,U+3064
10,U+3092
11,U+3068
12,U+308A
13,U+305F
14,U+307E
15,U+306E
16,U+3092
17,U+3057
18,U+307B
20,U+3066
21,U+306D
22,U+308A
23,U+3078
24,U+3064
26,U+3053
27,U+3080
28,U+306A
29,U+308A
30,U+3057
33,U+3044
37,U+307B
38,U+306B
39,U+3057
40,U+3066
41,U+3057
42,U+304D
43,U+3057
44,U+306E
45,U+304B
46,U+305F
47,U+3061
49,U+304D
50,U+308B
51,U+306E
52,U+308B
53,U+3046
54,U+3057
55,U+305D
56,U+3064
58,U+308A
59,U+306A
60,U+306E
61,U+305F
62,U+3044
63,U+3057
64,U+3044
65,U+3057
66,U+304D
67,U+3057
68,U+306A
69,U+3044
70,U+3082
71,U+3084
72,U+308F
73,U+3089
74,U+304B
75,U+3088
76,U+3081
77,U+306E
78,U+3044
79,U+308D
80,U+308F
81,U+3089
82,U+306B
83,U+3057
84,U+3081
85,U+3042
87,U+304B
88,U+308C
89,U+3044
90,U+307E
91,U+3044
92,U+306B
93,U+306A
95,U+3057
96,U+304F
98,U+304B
99,U+306E
100,U+3078
101,U+3057
102,U+308D
103,U+304B
104,U+306E
105,U+306E
108,U+3092
109,U+305B
110,U+304B
111,U+306B
112,U+3066
113,U+307E
115,U+3080
116,U+3059
117,U+306A
119,U+305B
120,U+308C
121,U+3044
122,U+308F
124,U+3084
125,U+3078
126,U+306A
128,U+3044
130,U+3053
131,U+3093
132,U+306E
133,U+308A
134,U+3042
135,U+3078
136,U+304D
137,U+3059
138,U+306A
139,U+3081
140,U+3075
141,U+304D
142,U+3055
143,U+3057
144,U+3046
145,U+3059
146,U+308A
147,U+3057
150,U+308A
151,U+307F
152,U+308B
153,U+3066
154,U+3046
155,U+308D
156,U+306E
157,U+3078
158,U+308F
159,U+3044
160,U+308F
161,U+3044
162,U+3092
163,U+3086
164,U+306B
166,U+3088
167,U+3059
169,U+304D
171,U+307E
172,U+3064
173,U+308D
174,U+304F
175,U+306B
176,U+3057
177,U+3066
179,U+3088
180,U+308A
181,U+304D
182,U+308A
183,U+304B
184,U+3051
186,U+3093
187,U+307B
188,U+306E
189,U+3053
190,U+3057
191,U+306F
192,U+306D
193,U+305F
195,U+306B
196,U+3072
197,U+308D
198,U+308B
199,U+306A
200,U+308A
201,U+3075
202,U+308A
203,U+3059
204,U+304D
205,U+305F
206,U+3051
207,U+306E
208,U+308A
209,U+3046
210,U+3086
211,U+308A
212,U+306E
213,U+305F
214,U+304D
215,U+3057
216,U+305D
218,U+304D
219,U+3059
220,U+3088
221,U+3057
223,U+305B
224,U+3093
225,U+3046
226,U+305F
227,U+3093
228,U+304F
229,U+3042
231,U+3044
232,U+3093
233,U+3093
234,U+305D
235,U+3078
236,U+3055
237,U+3064
238,U+304F
240,U+3055
241,U+308F
243,U+3092
244,U+3044
245,U+304B
246,U+307B
247,U+305D
248,U+306A
249,U+304B
250,U+304F
251,U+304D
252,U+308B
253,U+306A
254,U+308A
255,U+306E
256,U+304B
257,U+304D
258,U+305F
259,U+3044
260,U+3055
262,U+305F
263,U+3046
264,U+3053
265,U+3093
266,U+308F
267,U+304B
269,U+304D
270,U+3093
271,U+304B
272,U+3093
273,U+3055
275,U+3046
276,U+305F
277,U+3093
278,U+304F
279,U+306E
280,U+308A
281,U+3046
282,U+306B
283,U+3057
284,U+304D
285,U+3044
286,U+3044
288,U+3051
289,U+308A
290,U+306E
291,U+308A
292,U+304B
293,U+3093
294,U+305F
295,U+3072
296,U+3089
299,U+3055
300,U+307B
301,U+3046
302,U+306E
303,U+3046
304,U+3057
305,U+305D
307,U+308A
308,U+304B
309,U+305F
310,U+306A
311,U+3057
312,U+307E
313,U+306E
314,U+308A
315,U+305F
316,U+3051
317,U+304B
318,U+3093
319,U+3059
320,U+3044
321,U+305B
322,U+3093
323,U+3057
324,U+305D
326,U+3046
327,U+3081
328,U+3093
329,U+3081
330,U+3046
331,U+3068
332,U+3053
334,U+306E
335,U+306E
336,U+3084
337,U+304D
338,U+307E
339,U+3044
340,U+306B
341,U+304A
342,U+308D
343,U+3057
344,U+306F
345,U+3089
346,U+3092
347,U+3068
348,U+308A
349,U+3057
350,U+307B
351,U+306B
352,U+3064
353,U+3051
354,U+3084
357,U+306E
358,U+304D
359,U+304B
360,U+308A
361,U+3088
362,U+304F
363,U+3068
364,U+304D
365,U+3082
366,U+3068
367,U+304D
368,U+306B
370,U+304B
373,U+3084
374,U+307E
375,U+304D
376,U+3044
377,U+308D
378,U+306B
379,U+306A
380,U+308B
381,U+306A
382,U+308A
383,U+306E
384,U+308A
386,U+308A
388,U+3046
390,U+304D
391,U+305B
392,U+3093
393,U+305F
394,U+3051
395,U+305F
397,U+306A
398,U+3046
399,U+304F
400,U+308A
401,U+304B
402,U+308A
403,U+304B
404,U+308C
405,U+3044
406,U+304A
407,U+308D
408,U+3057
409,U+3093
410,U+3046
412,U+304F
413,U+3055
414,U+3089
415,U+3057
416,U+3057
417,U+3044
418,U+305F
419,U+3051
420,U+308F
421,U+308A
422,U+3057
423,U+3084
424,U+3046
425,U+3081
426,U+3046
427,U+3046
428,U+307E
429,U+306E
430,U+308A
431,U+3046
432,U+305B
433,U+3093
434,U+306E
435,U+308A
436,U+305F
437,U+3051
438,U+308F
439,U+308A
441,U+304B
442,U+308A
443,U+304A
444,U+308D
447,U+3055
448,U+306E
449,U+307B
450,U+3057
451,U+3088
452,U+3081
453,U+306A
454,U+3072
455,U+305F
456,U+3057
457,U+3082
458,U+306E
459,U+3075
460,U+308A
461,U+307E
462,U+3044
463,U+306B
465,U+308D
466,U+3057
467,U+306B
468,U+3078
469,U+3086
470,U+3092
471,U+304B
472,U+3051
473,U+3059
474,U+306B
475,U+3078
476,U+3044
477,U+308C
478,U+3064
479,U+304F
480,U+308C
481,U+3057
482,U+3082
483,U+306E
484,U+304B
485,U+308A
486,U+305F
487,U+308B
488,U+3057
489,U+306E
490,U+3053
491,U+3061
492,U+305B
493,U+3093
494,U+3053
495,U+3093
496,U+306A
497,U+308A
499,U+308A
500,U+3055
501,U+3088
502,U+308A
503,U+3093
504,U+305F
505,U+3051
506,U+304F
507,U+308A
508,U+3057
509,U+3084
510,U+3046
511,U+304F
513,U+3055
514,U+3059
515,U+304A
516,U+308D
517,U+3057
519,U+307E
520,U+3064
521,U+306A
522,U+306E
523,U+308A
525,U+305B
526,U+3093
528,U+307E
529,U+304D
530,U+3064
531,U+3068
532,U+304F
533,U+308A
535,U+3084
536,U+3046
537,U+304B
538,U+304D
540,U+3084
541,U+304A
542,U+308D
544,U+307B
545,U+305D
546,U+304D
547,U+306A
548,U+3057
549,U+308C
550,U+3093
551,U+3053
552,U+3093
553,U+306E
554,U+308A
555,U+3046
556,U+305F
557,U+3093
558,U+304F
559,U+3093
560,U+306A
561,U+3093
562,U+3075
563,U+304D
564,U+3064
565,U+3068
566,U+3046
568,U+3059
569,U+308A
570,U+3064
571,U+306E
572,U+304F
574,U+3057
575,U+3089
576,U+3078
577,U+3042
578,U+3057
579,U+3084
580,U+304F
581,U+3057
582,U+306B
583,U+3066
584,U+3057
585,U+308B
586,U+3078
587,U+3053
588,U+3057
589,U+3044
590,U+3088
591,U+306A
592,U+308A
593,U+306E
594,U+3088
595,U+3057
597,U+304B
598,U+3046
599,U+307E
600,U+3064
601,U+3082
602,U+308F
603,U+3055
604,U+3075
605,U+308A
606,U+304B
607,U+3089
608,U+304F
609,U+304F
610,U+308A
611,U+3057
612,U+3084
613,U+3046
614,U+3064
615,U+3092
616,U+3093
617,U+3093
618,U+304F
619,U+308A
620,U+3057
621,U+3084
622,U+3046
623,U+304B
624,U+308C
625,U+3044
626,U+3046
627,U+3059
628,U+308A
629,U+3046
630,U+306F
631,U+304D
632,U+3046
633,U+306E
634,U+304D
635,U+305B
636,U+3044
637,U+3046
638,U+3075
639,U+305B
642,U+3053
643,U+308D
644,U+304A
645,U+308D
646,U+3057
647,U+308F
648,U+3055
650,U+308A
651,U+305F
652,U+3093
653,U+304F
654,U+3046
655,U+3086
656,U+306E
657,U+308A
658,U+308F
659,U+3055
660,U+308F
661,U+304B
662,U+3081
663,U+304B
664,U+3084
665,U+3057
666,U+307E
667,U+306E
668,U+308A
669,U+308F
670,U+3089
671,U+305B
672,U+3046
673,U+3042
674,U+3078
675,U+304D
676,U+3059
677,U+3088
678,U+3057
679,U+306E
680,U+3046
681,U+3061
682,U+307E
683,U+3044
684,U+306B
685,U+304A
686,U+308D
687,U+3057
688,U+304F
689,U+306E
691,U+3092
692,U+304B
693,U+3051
694,U+307B
695,U+3046
696,U+3066
697,U+3046
698,U+306E
699,U+3072
700,U+3089
701,U+306B
702,U+3066
703,U+3046
704,U+3066
705,U+304F
706,U+3078
707,U+3046
708,U+3061
709,U+3053
710,U+3080
711,U+3086
712,U+306B
713,U+3057
714,U+3066
715,U+306E
717,U+306B
718,U+304D
719,U+308B
720,U+306A
721,U+308A
722,U+306E
723,U+3046
724,U+3051
725,U+3057
726,U+304B
727,U+304D
728,U+305F
729,U+3044
730,U+308A
731,U+304B
732,U+3093
733,U+306D
734,U+308A
736,U+306E
737,U+3059
738,U+308A
739,U+3046
740,U+3089
741,U+308D
742,U+3057
743,U+305D
744,U+3044
745,U+304B
746,U+304F
747,U+3057
748,U+3057
749,U+3088
750,U+3046
751,U+308D
752,U+304B
753,U+3044
754,U+308F
756,U+306A
757,U+3064
758,U+3068
759,U+3046
760,U+3075
761,U+3057
762,U+3081
763,U+3053
764,U+307E
766,U+3064
767,U+304F
768,U+308A
769,U+306F
771,U+308F
772,U+304B
773,U+3081
774,U+3064
776,U+3057
777,U+3072
778,U+305F
779,U+3057
780,U+3042
781,U+3055
782,U+3044
783,U+304D
784,U+308A
785,U+304B
786,U+304F
787,U+306B
789,U+308B
790,U+306A
791,U+308A
794,U+3053
796,U+3055
797,U+3084
798,U+304D
799,U+3057
800,U+3089
801,U+3046
802,U+3092
803,U+306E
804,U+308A
805,U+3064
806,U+3044
807,U+3082
808,U+3046
809,U+3075
810,U+304D
811,U+308A
812,U+3057
813,U+3081
814,U+305F
815,U+3051
816,U+305F
817,U+3044
818,U+3089
819,U+3044
820,U+3053
821,U+3093
822,U+306A
823,U+3044
824,U+3053
825,U+3093
826,U+3093
827,U+3057
828,U+3084
829,U+3046
830,U+304A
831,U+308D
833,U+3064
834,U+307E
835,U+306B
836,U+3066
837,U+306E
838,U+307E
839,U+308F
840,U+308A
841,U+304B
842,U+3051
843,U+304B
844,U+3064
845,U+3092
846,U+306E
847,U+3055
848,U+308A
849,U+3053
850,U+307E
851,U+305D
852,U+3042
853,U+3078
854,U+3055
855,U+3088
856,U+308A
858,U+304F
860,U+3059
861,U+306B
864,U+304F
865,U+3064
866,U+304F
867,U+308B
868,U+306A
869,U+308A
870,U+3055
872,U+304B
873,U+307E
874,U+3053
875,U+3093
876,U+3044
877,U+305F
878,U+3051
879,U+3044
880,U+3082
882,U+304B
883,U+304D
885,U+308A
886,U+3086
887,U+3093
888,U+3055
889,U+3044
890,U+3046
891,U+3059
892,U+308A
893,U+304B
894,U+3089
895,U+3057
897,U+305D
898,U+305B
899,U+3055
900,U+3088
901,U+308A
902,U+305F
903,U+3093
904,U+304F
905,U+3046
906,U+3068
907,U+304B
908,U+3055
909,U+305F
910,U+3044
911,U+306A
912,U+308A
913,U+3053
914,U+3084
915,U+3089
916,U+304B
917,U+3055
918,U+3068
919,U+3044
920,U+3082
921,U+308F
922,U+308A
923,U+305D
924,U+305F
925,U+307E
926,U+304B
927,U+3089
928,U+304B
929,U+3042
930,U+308F
931,U+3055
932,U+3068
933,U+304B
934,U+304D
935,U+305F
936,U+3044
937,U+307E
938,U+3044
939,U+306B
940,U+304A
941,U+308D
942,U+3057
943,U+307B
944,U+3046
945,U+3066
946,U+3044
947,U+306E
949,U+3066
951,U+3051
952,U+304B
953,U+306A
955,U+306B
957,U+307E
958,U+308B
959,U+3092
960,U+304B
961,U+3055
962,U+306D
963,U+3042
964,U+305B
966,U+308B
967,U+3057
968,U+306E
970,U+306A
971,U+3093
972,U+305D
973,U+308D
974,U+3078
975,U+308F
976,U+308A
977,U+3042
978,U+3093
979,U+304B
980,U+3051
981,U+3057
982,U+305D
983,U+3055
984,U+3068
985,U+3046
986,U+308F
987,U+3055
988,U+305D
989,U+308F
990,U+305B
991,U+306A
992,U+3093
993,U+305B
994,U+3093
995,U+3064
996,U+308F
997,U+304B
999,U+3053
1000,U+306D
1001,U+304B
1002,U+308C
1003,U+3044
1004,U+3044
1005,U+3082
1006,U+306A
1007,U+307E
1008,U+3075
1009,U+3046
1010,U+3061
1011,U+308F
1012,U+306A
1013,U+3059
1014,U+3089
1015,U+3057
1016,U+3042
1017,U+3081
1018,U+3046
1019,U+306E
1020,U+306F
1021,U+304D
1023,U+3082
1024,U+3064
1025,U+308A
1026,U+3044
1027,U+306A
1028,U+3084
1029,U+304D
1030,U+3066
1031,U+304A
1032,U+308D
1033,U+3057
1034,U+3055
1035,U+304D
1036,U+3044
1037,U+3046
1039,U+3057
1040,U+3081
1041,U+3055
1042,U+304D
1043,U+305F
1044,U+3089
1045,U+305F
1046,U+3089
1047,U+306E
1049,U+307B
1050,U+3092
1051,U+3044
1052,U+3057
1053,U+307E
1054,U+3044
1056,U+304A
1057,U+308D
1058,U+3057
1059,U+3086
1060,U+306B
1061,U+3057
1062,U+3066
1064,U+304F
1065,U+306A
1067,U+306E
1068,U+305D
1069,U+305B
1071,U+306A
1072,U+3059
1073,U+304B
1074,U+3044
1075,U+308F
1077,U+306A
1079,U+306F
1080,U+304D
1081,U+3053
1082,U+3093
1083,U+304A
1084,U+308D
1085,U+3057
1086,U+306E
1087,U+308A
1088,U+3053
1089,U+306E
1090,U+308A
1091,U+3055
1092,U+3068
1093,U+3046
1094,U+306A
1095,U+3084
1096,U+308F
1097,U+3089
1098,U+304B
1099,U+306E
1100,U+3059
1101,U+307E
1102,U+3057
1103,U+304F
1104,U+3057
1105,U+306F
