ID,Image,X,Y,Width,Height
903,200021637-00008_1,144,840,75,63
2775,200021712-00006_2,1151,1430,88,97
3677,200021712-00014_2,1720,2655,98,122
4280,200021712-00017_2,1332,2989,72,100
5576,200021712-00025_2,965,997,74,89
10704,200021712-00055_2,1162,1873,80,122
10899,200021712-00056_2,1156,2303,37,100
11713,200021712-00061_1,351,3227,55,113
13142,200021712-00069_1,1671,823,102,94
16300,200021763-00014_2,1159,789,72,129
16665,200021763-00019_1,2062,1303,69,167
17358,200021763-00025_2,1335,2996,55,116
18864,200021763-00039_1,1381,1012,20,200
20194,200021802-00004_2,958,2949,251,147
22346,200021802-00015_1,2434,2267,76,92
22931,200021802-00017_2,1449,1087,124,120
23877,200021802-00021_1,393,2995,173,149
24361,200021802-00023_1,2356,2369,60,169
24929,200021802-00025_1,2343,1097,87,125
26680,200021802-00030_2,964,2239,52,173
27282,200021802-00033_1,2293,929,134,119
27368,200021802-00033_1,1058,2325,102,170
28012,200021802-00035_1,67,2383,141,100
28674,200021802-00037_2,1735,2691,137,206
28941,200021802-00038_2,2402,3547,34,74
31053,200021802-00045_2,1727,1026,74,124
31464,200021802-00047_1,2025,3672,129,166
33172,200021802-00053_1,1044,1700,34,163
34384,200021853-00008_1,29,1125,52,63
35334,200021853-00015_1,948,2278,41,68
35828,200021853-00017_2,456,780,88,109
36163,200021853-00019_1,392,1494,48,71
36607,200021853-00022_2,854,2136,72,63
36920,200021853-00025_1,673,544,63,81
37415,200021853-00027_2,750,2047,63,80
37525,200021853-00028_2,165,464,71,83
38648,200021853-00035_2,764,2000,99,99
40740,200021869-00012_2,542,604,76,107
41201,200021925-00004_2,1369,1527,53,143
42621,200021925-00023_2,1092,1084,36,83
42856,200022050-00004_1,2012,2950,96,201
46473,200022050-00010_2,1450,1511,117,99
46745,200022050-00011_1,2147,2765,51,136
47503,200022050-00012_1,1474,1371,93,59
48020,200022050-00012_2,719,1069,65,120
48976,200022050-00014_1,869,1443,80,117
